year,city,country,avg_temp,gbl_avg_temp
1787,Antananarivo,Madagascar,19.12,8.03
1788,Antananarivo,Madagascar,18.02,8.45
1789,Antananarivo,Madagascar,18.83,8.33
1790,Antananarivo,Madagascar,18.79,7.98
1791,Antananarivo,Madagascar,19.23,8.23
1792,Antananarivo,Madagascar,18.61,8.09
1793,Antananarivo,Madagascar,,8.23
1794,Antananarivo,Madagascar,,8.53
1795,Antananarivo,Madagascar,,8.35
1796,Antananarivo,Madagascar,,8.27
1797,Antananarivo,Madagascar,,8.51
1798,Antananarivo,Madagascar,,8.67
1799,Antananarivo,Madagascar,,8.51
1800,Antananarivo,Madagascar,,8.48
1801,Antananarivo,Madagascar,,8.59
1802,Antananarivo,Madagascar,,8.58
1803,Antananarivo,Madagascar,18.59,8.50
1804,Antananarivo,Madagascar,19.20,8.84
1805,Antananarivo,Madagascar,,8.56
1806,Antananarivo,Madagascar,,8.43
1807,Antananarivo,Madagascar,,8.28
1808,Antananarivo,Madagascar,,7.63
1809,Antananarivo,Madagascar,,7.08
1810,Antananarivo,Madagascar,,6.92
1811,Antananarivo,Madagascar,,6.86
1812,Antananarivo,Madagascar,,7.05
1813,Antananarivo,Madagascar,,7.74
1814,Antananarivo,Madagascar,,7.59
1815,Antananarivo,Madagascar,,7.24
1816,Antananarivo,Madagascar,,6.94
1817,Antananarivo,Madagascar,,6.98
1818,Antananarivo,Madagascar,,7.83
1819,Antananarivo,Madagascar,,7.37
1820,Antananarivo,Madagascar,,7.62
1821,Antananarivo,Madagascar,,8.09
1822,Antananarivo,Madagascar,,8.19
1823,Antananarivo,Madagascar,,7.72
1824,Antananarivo,Madagascar,,8.55
1825,Antananarivo,Madagascar,,8.39
1826,Antananarivo,Madagascar,,8.36
1827,Antananarivo,Madagascar,,8.81
1828,Antananarivo,Madagascar,,8.17
1829,Antananarivo,Madagascar,,7.94
1830,Antananarivo,Madagascar,,8.52
1831,Antananarivo,Madagascar,,7.64
1832,Antananarivo,Madagascar,,7.45
1833,Antananarivo,Madagascar,,8.01
1834,Antananarivo,Madagascar,,8.15
1835,Antananarivo,Madagascar,,7.39
1836,Antananarivo,Madagascar,,7.70
1837,Antananarivo,Madagascar,,7.38
1838,Antananarivo,Madagascar,,7.51
1839,Antananarivo,Madagascar,,7.63
1840,Antananarivo,Madagascar,,7.80
1841,Antananarivo,Madagascar,,7.69
1842,Antananarivo,Madagascar,,8.02
1843,Antananarivo,Madagascar,,8.17
1844,Antananarivo,Madagascar,,7.65
1845,Antananarivo,Madagascar,,7.85
1846,Antananarivo,Madagascar,,8.55
1847,Antananarivo,Madagascar,,8.09
1848,Antananarivo,Madagascar,,7.98
1849,Antananarivo,Madagascar,,7.98
1850,Antananarivo,Madagascar,18.26,7.90
1851,Antananarivo,Madagascar,,8.18
1852,Antananarivo,Madagascar,,8.10
1853,Antananarivo,Madagascar,18.62,8.04
1854,Antananarivo,Madagascar,18.75,8.21
1855,Antananarivo,Madagascar,18.58,8.11
1856,Antananarivo,Madagascar,18.43,8.00
1857,Antananarivo,Madagascar,18.28,7.76
1858,Antananarivo,Madagascar,18.69,8.10
1859,Antananarivo,Madagascar,18.83,8.25
1860,Antananarivo,Madagascar,18.67,7.96
1861,Antananarivo,Madagascar,18.73,7.85
